;reportingDate;productName;dealName;sti1;businessLine;productLine;region;country;signingDate;settlementDate;tradeDate;maturityDate;borrowerId;borrowerName;currency;finalAllocationDeal;finalTakeDeal;ccyFinalTakeDeal;currentCommitment;productVolume;ccyProductVolume;bestEffortDeal;rwaSpot;rwaHtm;rwaRelease;ccyRwa;totalPremium;investorId;investorName;borker;upfrontFees;upfrontFeesSkim;ccyFees;rationale;tradePrice;investorType;wal;netMargin;grossMargin;eva
10;30/11/2023;cds;Paper how choose head learn day.;6936;era;aviation;emea;Tanzania;07/12/2023;03/12/2023;03/12/2023;08/12/2023;1543419390;Ellis, Williams and Walker;usd;44394793;44394793;usd;44394793;13467257;usd;17845332;13318437.9;11098698.25;3366814.25;usd;39;4025117463;Style image until international.;Beautiful society unit gas.;54;66;usd;World join move.;51;ecg;3;61;127;40
11;30/11/2023;picr;Friend claim left might.;7604;clf;power;apac;Tajikistan;03/12/2023;01/12/2023;07/12/2023;06/12/2023;7087847017;Smith and Sons;usd;96375788;96375788;gbp;44247287;36092756;gbp;19110463;28912736.4;24093947.0;9023189.0;eur;90;2598379014;Those relate house law.;Cover land result board former.;55;194;eur;American may.;26;bcg;4;228;228;61
12;30/11/2023;securitization;Modern foreign might wear.;5289;era;afa;americas;Iran;04/12/2023;03/12/2023;05/12/2023;03/12/2023;6894550898;Hicks Group;usd;72567057;72567057;gbp;72567057;72567057;usd;43488938;21770117.099999998;18141764.25;18141764.25;usd;68;286133274;Window your accept nice.;Parent all wait agreement.;179;15;usd;Place why.;97;acg;10;124;124;201
13;30/11/2023;securitization;Full its nothing information.;5617;clf;shipping;apac;Saint Pierre and Miquelon;10/12/2023;06/12/2023;06/12/2023;08/12/2023;7849551987;Garcia, Harris and Shepard;eur;86583971;86583971;gbp;19030223;19030223;gbp;60897176;25975191.3;21645992.75;4757555.75;gbp;71;225416816;Letter peace establish sea role.;Be design green situation.;179;143;eur;Us three.;33;acg;4;18;60;122
14;30/11/2023;cds;College news and hotel usually.;5383;itb;mining;emea;Tonga;02/12/2023;30/11/2023;07/12/2023;04/12/2023;1693341323;Mendoza, Jacobs and Greer;usd;39413554;66781121;eur;39413554;39413554;gbp;21474945;11824066.2;9853388.5;9853388.5;eur;110;8328146008;Human ready realize rest car.;Can than good situation.;29;93;usd;See relate choice.;81;bcg;7;55;102;187
15;30/11/2023;cri;Seek behind five drug.;1697;era;tmt;apac;Korea;04/12/2023;01/12/2023;02/12/2023;06/12/2023;3014142389;Hurst-Marshall;eur;82677036;82677036;usd;10715980;10715980;eur;49308922;24803110.8;20669259.0;2678995.0;gbp;188;2868465990;Bar smile relationship hear lose.;Budget policy word.;75;165;gbp;International floor.;93;acg;10;160;160;49
16;30/11/2023;secondary;Quickly strong drug indeed.;3030;itb;aviation;apac;Palau;04/12/2023;03/12/2023;03/12/2023;06/12/2023;8061401150;Bailey-Lee;usd;63727741;79560940;gbp;37408755;37408755;gbp;79560940;19118322.3;15931935.25;9352188.75;eur;207;2920174762;Own wait court year.;So eye simple society.;34;218;usd;Or perform.;44;scg;1;211;229;26
17;30/11/2023;securitization;Forward your space sometimes.;1246;era;shipping;emea;Angola;07/12/2023;06/12/2023;09/12/2023;09/12/2023;8756130644;Jackson Ltd;usd;66592456;90666761;usd;15560999;15560999;usd;17354062;19977736.8;16648114.0;3890249.75;gbp;58;8100494596;Radio exactly many.;Short full politics happen.;90;212;eur;Thank along serious.;45;ecg;7;13;244;152
18;30/11/2023;cri;Vote rather exist list speech.;7187;era;midCap;americas;Chile;01/12/2023;30/11/2023;09/12/2023;03/12/2023;4837175002;Jones-Hampton;usd;25597736;25597736;eur;25597736;25597736;eur;25597736;7679320.8;6399434.0;6399434.0;eur;124;2381888490;Body fact explain end factor.;Central hospital say cold want.;221;50;eur;Send dinner send.;25;scg;4;150;150;76
19;30/11/2023;picr;World season wish understand.;1296;era;power;apac;Bulgaria;03/12/2023;01/12/2023;06/12/2023;05/12/2023;1582353160;Simmons Ltd;eur;72132704;93575593;eur;68924759;68924759;gbp;34380493;21639811.2;18033176.0;17231189.75;eur;195;1757669769;Bar ball series.;Both message may hope purpose.;231;92;eur;Appear affect try.;66;bcg;3;40;40;71
20;30/11/2023;picr;Eye will deal month do.;762;clf;midCap;emea;Guadeloupe;08/12/2023;03/12/2023;05/12/2023;07/12/2023;2219581647;Rogers-Miller;usd;77316898;77316898;gbp;39897902;31208165;usd;77316898;23195069.4;19329224.5;7802041.25;eur;117;9071745559;Oil fire alone boy.;Economic ground somebody.;122;191;usd;Read surface.;37;bcg;4;102;217;140
21;30/11/2023;securitization;Sound size himself age.;6786;era;tmt;apac;Jersey;10/12/2023;01/12/2023;07/12/2023;03/12/2023;2798207016;Smith, Rodriguez and Camacho;eur;36729399;36729399;eur;36729399;36729399;gbp;36729399;11018819.7;9182349.75;9182349.75;eur;77;5309243654;Reach work life edge.;Group thank price time.;103;41;usd;Seek focus appear.;24;ecg;4;72;99;180
22;30/11/2023;secondary;Ever they serve itself.;9233;itb;aviation;emea;Cayman Islands;09/12/2023;07/12/2023;09/12/2023;07/12/2023;3278889414;Hughes Ltd;gbp;60267528;72381858;eur;60267528;59782686;eur;19993122;18080258.4;15066882.0;14945671.5;gbp;240;9156633992;Human build tend.;Grow something campaign.;126;123;gbp;May race single out.;104;bcg;9;187;194;94
23;30/11/2023;securitization;You place opportunity arrive.;3256;itb;tmt;apac;Sao Tome and Principe;03/12/2023;02/12/2023;03/12/2023;09/12/2023;6870726669;Joyce-Sawyer;eur;74744256;74744256;eur;11387459;11387459;usd;74744256;22423276.8;18686064.0;2846864.75;gbp;169;8694784465;Light capital about check.;Material ready energy hope.;27;38;usd;Physical building.;74;ecg;5;51;157;121
24;30/11/2023;secondary;Small between style game.;5933;era;shipping;apac;Peru;30/11/2023;30/11/2023;04/12/2023;04/12/2023;7435676854;Buck and Sons;eur;35149425;35149425;gbp;35149425;35149425;usd;35149425;10544827.5;8787356.25;8787356.25;gbp;23;4766475348;Source which sport media.;Unit big start sign movie skin.;161;142;eur;Sense bed our.;68;ecg;1;185;185;61
25;30/11/2023;cri;Material bed be work center.;4843;clf;corporate;americas;Brazil;04/12/2023;30/11/2023;10/12/2023;06/12/2023;5263006922;Greer-Flynn;eur;43788385;43788385;usd;43788385;43788385;eur;43788385;13136515.5;10947096.25;10947096.25;eur;205;9541518615;Bring my walk show.;Major either under direction.;166;21;usd;White pressure.;19;scg;10;188;188;58
26;30/11/2023;cri;Arrive machine reality ok.;4836;era;mining;emea;Gabon;08/12/2023;01/12/2023;04/12/2023;09/12/2023;675899151;Green Inc;eur;80121658;81466708;usd;78600944;23146544;gbp;65993442;24036497.4;20030414.5;5786636.0;eur;36;1783794737;Need water determine drive.;Last learn big bill kind.;96;124;usd;Few point pass.;51;scg;1;34;45;183
27;30/11/2023;securitization;Career court eat great eye.;7366;era;gcf;americas;Gambia;01/12/2023;30/11/2023;04/12/2023;09/12/2023;5770138930;Gutierrez-Jenkins;eur;12417803;90910105;eur;12417803;12417803;usd;80617941;3725340.9;3104450.75;3104450.75;eur;218;1716318428;Couple again item international.;During home whole citizen.;82;43;eur;Indicate many.;74;acg;1;215;215;12
28;30/11/2023;secondary;All develop professor oil.;5891;itb;aviation;emea;Western Sahara;10/12/2023;06/12/2023;07/12/2023;08/12/2023;6702545191;Le Ltd;gbp;21610408;33690568;usd;21610408;21610408;gbp;29974597;6483122.399999999;5402602.0;5402602.0;usd;86;8451386945;Guess who trouble.;More realize rise drop.;38;41;gbp;Shake professor.;29;acg;6;176;199;221
29;30/11/2023;secondary;Its by little point.;9812;itb;real estate;americas;Venezuela;04/12/2023;03/12/2023;06/12/2023;07/12/2023;6089348860;Thompson, Harrell and Reed;usd;30373814;31978741;gbp;10975741;10975741;gbp;22728621;9112144.2;7593453.5;2743935.25;gbp;149;2454288031;Couple account network.;Training they into writer option.;74;192;usd;Enough hit never.;32;scg;2;107;115;216
30;30/11/2023;cri;Rather school fund.;1680;clf;gcf;emea;Sweden;05/12/2023;02/12/2023;03/12/2023;09/12/2023;2231456090;Anderson Ltd;usd;93881766;93881766;eur;66604126;44391975;eur;27274116;28164529.8;23470441.5;11097993.75;usd;248;5652758882;Total others meet late east.;Project indeed skin wind house.;107;100;gbp;Show worry it.;90;ecg;2;57;246;175
31;30/11/2023;cri;Boy catch at pattern three could.;2739;era;oil&gas;apac;Tonga;06/12/2023;01/12/2023;01/12/2023;03/12/2023;8833746797;Gregory, Fuentes and Rodriguez;gbp;89386572;89386572;usd;38818855;38818855;eur;60386527;26815971.599999998;22346643.0;9704713.75;gbp;164;4407522275;Loss goal wind past wind.;Street establish billion large.;132;118;gbp;Direction agency.;27;bcg;2;47;59;152
32;30/11/2023;secondary;Lead bed west voice.;4547;clf;oil&gas;americas;Iceland;09/12/2023;07/12/2023;08/12/2023;07/12/2023;9812566509;Schmidt Inc;gbp;38277540;86083559;usd;15222630;15222630;gbp;84447637;11483262.0;9569385.0;3805657.5;eur;236;9314165045;Number across during effort.;Serious care little born stay.;140;233;eur;Out perform.;35;bcg;10;124;124;220
33;30/11/2023;picr;Name pretty like several.;2125;era;tmt;apac;Papua New Guinea;02/12/2023;01/12/2023;08/12/2023;08/12/2023;7459808919;Chambers-Patterson;eur;80620831;80620831;usd;80620831;52133527;usd;54017931;24186249.3;20155207.75;13033381.75;eur;211;4579054404;Return baby wall.;Modern worry will.;195;165;eur;Decision kitchen.;92;acg;3;198;198;33
34;30/11/2023;securitization;Happen cost such thus.;6634;era;aviation;emea;Lebanon;05/12/2023;03/12/2023;06/12/2023;03/12/2023;3508668125;Smith-Meyer;usd;25019684;38223540;usd;25019684;25019684;usd;38223540;7505905.2;6254921.0;6254921.0;usd;228;2401625867;Them employee decide save.;Until thousand figure north.;121;140;gbp;Win piece direction.;49;ecg;9;40;206;115
35;30/11/2023;cds;Mouth left difficult could.;9803;era;afa;americas;Russian Federation;07/12/2023;05/12/2023;09/12/2023;05/12/2023;7831530681;Cummings-Brown;gbp;98854694;98854694;usd;59044938;59044938;gbp;58091797;29656408.2;24713673.5;14761234.5;usd;53;3333213795;Reveal hold also safe.;Body describe including able.;24;245;usd;Health value remain.;51;scg;3;85;113;178
36;30/11/2023;securitization;Radio free certain skill.;4153;era;export finance;emea;Guinea-Bissau;07/12/2023;04/12/2023;08/12/2023;08/12/2023;1278521240;Williams, Edwards and Gilbert;gbp;63959123;76484451;eur;63959123;63959123;eur;16631827;19187736.9;15989780.75;15989780.75;gbp;141;6253915982;Room huge product history movie.;For too exactly western main man.;228;217;usd;Next painting sense.;38;scg;7;200;200;95
37;30/11/2023;securitization;Race worker key.;4716;itb;midCap;apac;Reunion;30/11/2023;30/11/2023;04/12/2023;09/12/2023;813185390;Merritt Group;eur;73012439;73012439;eur;35728370;20029313;eur;73012439;21903731.7;18253109.75;5007328.25;eur;114;2326818561;Different produce will nature.;Wait nor light dinner.;226;37;eur;Enter cover kind.;22;scg;2;79;159;229
38;30/11/2023;cds;Father phone artist word attack.;9065;itb;midCap;apac;Vanuatu;01/12/2023;30/11/2023;01/12/2023;03/12/2023;2638210708;White-Smith;usd;73689564;82481949;eur;41222356;41222356;usd;48157905;22106869.2;18422391.0;10305589.0;eur;160;5318054625;Firm explain fast himself.;Game growth student analysis.;15;60;eur;Without technology.;49;scg;7;149;219;37
39;30/11/2023;cds;Experience quickly not.;180;era;afa;emea;Zambia;02/12/2023;30/11/2023;03/12/2023;05/12/2023;6388260047;Thompson-Scott;eur;64011275;64011275;usd;34302382;34302382;gbp;64011275;19203382.5;16002818.75;8575595.5;eur;46;9068430631;Both where bad miss key.;Reduce rest small will family.;142;168;gbp;Each size data ask.;44;acg;3;78;78;190
40;30/11/2023;picr;Get personal trial travel.;5765;itb;corporate;americas;Lithuania;04/12/2023;03/12/2023;06/12/2023;06/12/2023;8377619368;Dawson, Mccullough and Arroyo;gbp;86723619;86723619;usd;19478068;19478068;eur;86723619;26017085.7;21680904.75;4869517.0;eur;243;4925584751;Unit say may never cultural hit.;Though indeed natural day son.;72;185;eur;Accept forget local.;25;bcg;3;156;200;212
41;30/11/2023;cri;Field key artist while as.;8264;era;export finance;americas;Pakistan;03/12/2023;02/12/2023;04/12/2023;10/12/2023;8090372019;Stephens-Willis;eur;63513689;63513689;usd;45621080;45621080;eur;19526472;19054106.7;15878422.25;11405270.0;gbp;19;9240493904;Long large budget art hair.;Drug vote beautiful sing team.;89;79;gbp;Part rule by edge.;78;ecg;9;11;35;54
42;30/11/2023;cds;Find management sure matter.;3884;clf;gcf;emea;Costa Rica;05/12/2023;30/11/2023;01/12/2023;07/12/2023;8201697626;Adams PLC;gbp;60909330;60909330;usd;53037355;53037355;eur;58591380;18272799.0;15227332.5;13259338.75;gbp;231;8273921678;Side through even one stock sell.;Message shake though top.;247;75;eur;Woman yard expect.;71;scg;10;74;74;234
43;30/11/2023;cri;Grow it alone half.;880;itb;mining;americas;Oman;08/12/2023;30/11/2023;01/12/2023;30/11/2023;1485305656;Barnett, Morris and Jones;gbp;69268399;69268399;eur;69268399;13952019;usd;41120678;20780519.7;17317099.75;3488004.75;usd;239;3821296443;Different race unit return.;Chair group media history.;35;30;eur;Prevent far left.;23;bcg;10;119;140;209
44;30/11/2023;picr;Bit book mention look film.;955;era;afa;apac;Czech Republic;09/12/2023;04/12/2023;05/12/2023;10/12/2023;3319873125;Nguyen, Elliott and Kemp;eur;87412971;87412971;usd;72640660;23649029;usd;87412971;26223891.3;21853242.75;5912257.25;eur;236;8832841156;Girl current seek give.;Care letter maybe issue focus.;87;206;eur;Film decade tonight.;40;ecg;3;161;161;175
45;30/11/2023;securitization;Interesting similar family movie.;6879;itb;aviation;apac;United Kingdom;30/11/2023;30/11/2023;30/11/2023;02/12/2023;986760842;Davis Inc;usd;57416394;57416394;gbp;51297478;51297478;eur;39579783;17224918.2;14354098.5;12824369.5;usd;191;6630182103;When choice statement once.;None possible score catch on.;227;198;gbp;Provide them upon.;61;acg;4;43;43;166
46;30/11/2023;cri;Scientist by other development.;2817;era;real estate;apac;Maldives;06/12/2023;02/12/2023;02/12/2023;02/12/2023;238938754;Price Group;gbp;68258618;68258618;gbp;59941439;59941439;eur;68258618;20477585.4;17064654.5;14985359.75;eur;115;3363156014;Identify speak appear.;Security you PM need door answer.;92;100;gbp;News exactly impact.;70;scg;5;37;165;157
47;30/11/2023;cri;Want central natural small.;1941;itb;mining;americas;Belize;03/12/2023;30/11/2023;08/12/2023;09/12/2023;3337611622;Peterson PLC;gbp;34887978;67492038;gbp;14302922;14302922;usd;67191139;10466393.4;8721994.5;3575730.5;usd;28;763327422;Stock employee concern.;Along contain step charge.;12;162;gbp;Director despite.;72;scg;1;39;124;222
48;30/11/2023;securitization;Actually four agent rest.;1474;clf;gcf;emea;South Africa;30/11/2023;30/11/2023;09/12/2023;03/12/2023;7893819420;Bates and Sons;usd;82014318;82014318;eur;10473527;10473527;gbp;11269457;24604295.4;20503579.5;2618381.75;gbp;108;7607957636;Sister difference song.;Generation reduce film run.;158;123;usd;Before section.;62;scg;7;185;185;226
49;30/11/2023;cds;Knowledge maybe some head.;837;clf;infra;americas;Niue;03/12/2023;30/11/2023;08/12/2023;03/12/2023;9416446422;Pacheco, Johnson and Nelson;gbp;66740569;97064942;usd;16600131;11450778;usd;31627904;20022170.7;16685142.25;2862694.5;usd;226;5163867684;Population but around scene leg.;Identify live community result.;243;120;gbp;Wide least remain.;90;bcg;6;190;190;47
50;30/11/2023;picr;Focus speech note three.;2634;clf;oil&gas;apac;Andorra;06/12/2023;05/12/2023;10/12/2023;09/12/2023;5536516003;Harrison-Larson;usd;31487099;58800364;gbp;31487099;31487099;eur;58800364;9446129.7;7871774.75;7871774.75;usd;143;9002620376;Great reality wrong sport.;Nor I mind concern together four.;65;47;gbp;Right list.;16;ecg;10;38;74;104
51;30/11/2023;securitization;City citizen hour very.;1363;clf;oil&gas;emea;Haiti;05/12/2023;02/12/2023;07/12/2023;02/12/2023;1633678591;Solomon and Sons;eur;19711270;68406091;usd;19711270;19711270;eur;22388705;5913381.0;4927817.5;4927817.5;usd;117;1321609691;Plant drive everything yourself.;May treatment society.;65;68;usd;School reality.;26;scg;9;215;215;240
52;30/11/2023;securitization;Either executive ahead.;6057;itb;afa;emea;Seychelles;02/12/2023;30/11/2023;30/11/2023;05/12/2023;6560741396;Buchanan Group;eur;74400257;74400257;usd;74400257;45870381;gbp;74400257;22320077.099999998;18600064.25;11467595.25;usd;21;363450644;Church southern pass grow event.;Fill and bank building.;60;84;usd;Lot between some.;72;acg;6;230;230;23
53;30/11/2023;secondary;Meet plant cut.;8354;itb;power;americas;Saudi Arabia;02/12/2023;01/12/2023;09/12/2023;07/12/2023;1403628422;Vasquez Inc;usd;18947168;97969653;eur;18947168;18947168;usd;69139988;5684150.399999999;4736792.0;4736792.0;usd;238;6517695122;Attorney use window in.;Third again risk perform.;157;225;usd;Guess apply seem.;56;scg;9;129;160;98
54;30/11/2023;cds;Nation store lay cut between.;6454;era;mining;emea;Liberia;08/12/2023;07/12/2023;09/12/2023;08/12/2023;8257375575;Andrews, Welch and Rivera;usd;90266256;90266256;gbp;80107993;71590123;usd;39425174;27079876.8;22566564.0;17897530.75;eur;172;3086922766;The agent technology happy each.;Something list social.;148;172;gbp;Around magazine.;39;scg;10;106;106;72
55;30/11/2023;picr;Activity example whose.;6252;era;mining;americas;Angola;30/11/2023;30/11/2023;04/12/2023;03/12/2023;2947345876;Robertson Group;eur;69447695;96836279;eur;17756105;17756105;gbp;93841019;20834308.5;17361923.75;4439026.25;gbp;250;2831533337;One might hot land rule.;Discover wrong lead anyone.;84;67;eur;Happy pretty well.;36;acg;8;26;245;216
56;30/11/2023;cds;To popular light person.;2449;itb;infra;americas;Jamaica;08/12/2023;07/12/2023;10/12/2023;10/12/2023;9197690913;Bennett Group;eur;22527925;85432348;gbp;22527925;22527925;gbp;32405997;6758377.5;5631981.25;5631981.25;gbp;61;4600792610;South yourself its.;Role cup may trade detail.;203;12;usd;Turn government.;12;acg;1;10;231;97
57;30/11/2023;cds;Individual item far into.;3694;itb;export finance;americas;Trinidad and Tobago;01/12/2023;30/11/2023;04/12/2023;08/12/2023;1429420840;Chase Inc;gbp;83528933;83528933;eur;83528933;54062299;gbp;38707601;25058679.9;20882233.25;13515574.75;usd;10;5478372811;Success bank last.;Them word send.;36;58;eur;Girl soldier test.;69;bcg;2;30;35;112
58;30/11/2023;cds;Nothing billion admit perhaps.;7473;clf;export finance;apac;Jamaica;01/12/2023;30/11/2023;08/12/2023;30/11/2023;8643102233;Allen, Adkins and Hopkins;usd;34793475;90767347;usd;26497720;26497720;usd;90767347;10438042.5;8698368.75;6624430.0;eur;11;9320128325;Financial board order yard.;Factor cut parent country mean.;134;59;eur;Forget together.;42;ecg;10;39;125;109
59;30/11/2023;cds;These style whom task miss.;6507;clf;export finance;emea;Singapore;02/12/2023;30/11/2023;06/12/2023;01/12/2023;4335978111;Murphy LLC;gbp;58310360;71284612;gbp;35286318;35286318;eur;71284612;17493108.0;14577590.0;8821579.5;eur;120;7159576266;Their last imagine business.;Candidate speech notice.;168;170;eur;Loss even.;63;ecg;7;231;231;46
60;30/11/2023;cri;Yard measure free need.;6569;era;aviation;americas;Cyprus;10/12/2023;03/12/2023;06/12/2023;06/12/2023;3385847138;Weber-Silva;gbp;58447939;66094210;usd;58447939;58447939;usd;33969617;17534381.7;14611984.75;14611984.75;eur;79;8677197325;Now per new standard nice.;Low sound poor for soldier.;201;56;eur;Participant feeling.;30;scg;4;133;172;81
61;30/11/2023;cri;Address size owner minute.;8975;clf;afa;apac;Syrian Arab Republic;05/12/2023;02/12/2023;06/12/2023;05/12/2023;1865934674;Gonzalez-Newman;gbp;63918036;63918036;gbp;21433114;21433114;usd;63918036;19175410.8;15979509.0;5358278.5;eur;22;1218331729;Sea race its yourself dream.;Develop development pressure.;98;214;gbp;Major keep ask.;29;bcg;5;92;92;38
62;30/11/2023;cri;Accept big front else little.;7719;itb;real estate;apac;Japan;09/12/2023;07/12/2023;08/12/2023;09/12/2023;8048986096;Wu, Kennedy and Marks;usd;16363196;34712214;eur;16363196;16363196;usd;34712214;4908958.8;4090799.0;4090799.0;gbp;26;6853670498;Item should price.;From like base.;179;171;usd;Subject student.;45;bcg;10;223;223;67
63;30/11/2023;cds;Born art indeed culture arrive.;6086;itb;gcf;americas;Bulgaria;03/12/2023;30/11/2023;30/11/2023;09/12/2023;3011718744;Phillips-Sanchez;gbp;46265733;66235283;usd;42058692;42058692;eur;17594458;13879719.9;11566433.25;10514673.0;eur;135;1564737187;City south determine.;Light former bit key.;186;66;gbp;Wait difficult west.;88;scg;9;194;194;205
64;30/11/2023;picr;Despite both face.;2499;era;corporate;emea;Hong Kong;05/12/2023;02/12/2023;08/12/2023;06/12/2023;6891553594;Shaffer PLC;eur;94670655;94670655;gbp;73546648;19354234;gbp;49504692;28401196.5;23667663.75;4838558.5;eur;232;4990852893;Hot me choose future.;Then hot also I everyone.;188;130;eur;Century grow.;28;scg;9;105;152;76
65;30/11/2023;secondary;Very under daughter per send.;2145;itb;aviation;americas;Sudan;30/11/2023;30/11/2023;02/12/2023;09/12/2023;1209709193;Nelson-Holland;usd;51953408;99550607;usd;46669560;46669560;gbp;72395982;15586022.399999999;12988352.0;11667390.0;eur;41;9042387199;Daughter report opportunity war.;Enter those affect she seek.;74;93;eur;Finish first.;90;bcg;5;82;151;122
66;30/11/2023;secondary;Provide certainly sometimes off.;8748;clf;aviation;emea;Cayman Islands;01/12/2023;30/11/2023;08/12/2023;06/12/2023;1080528216;Smith, Hall and Chavez;eur;45527513;45527513;eur;29332202;25967678;eur;45527513;13658253.9;11381878.25;6491919.5;gbp;149;2150062914;Drop whether soldier free.;Response common once happy.;208;83;usd;Particular court.;34;acg;1;67;110;80
67;30/11/2023;secondary;Form toward just dark enough.;7919;itb;tmt;apac;Yemen;04/12/2023;03/12/2023;04/12/2023;05/12/2023;4546259908;Lee, Jones and Carson;gbp;30973356;85572452;usd;30973356;30973356;eur;80127906;9292006.799999999;7743339.0;7743339.0;gbp;154;8152208402;Side generation ability line.;Position heavy near vote during.;243;14;eur;Local under allow.;61;scg;9;73;175;92
68;30/11/2023;securitization;Daughter forward brother.;5966;era;gcf;apac;Jordan;02/12/2023;01/12/2023;08/12/2023;03/12/2023;3842871348;Barnett Ltd;gbp;43967451;63832118;usd;40668641;19533848;usd;63832118;13190235.299999999;10991862.75;4883462.0;usd;239;8410498819;City majority plan threat we.;These current wear lose bit live.;139;200;usd;Democratic once.;91;ecg;5;105;223;211
69;30/11/2023;picr;Value reflect policy type write.;2537;clf;aviation;apac;Denmark;04/12/2023;02/12/2023;09/12/2023;09/12/2023;608737828;Wolf-Herrera;usd;50663287;51043265;gbp;50663287;39193141;usd;29507450;15198986.1;12665821.75;9798285.25;usd;232;8722600960;Play father recently available.;Big allow direction win enough.;220;138;gbp;Attack off last.;104;ecg;2;71;71;159
70;30/11/2023;picr;Mouth national time movie.;8127;clf;oil&gas;americas;Barbados;05/12/2023;02/12/2023;05/12/2023;03/12/2023;4075391453;Chavez, Young and Terrell;eur;15933655;21630934;gbp;15933655;15933655;gbp;21630934;4780096.5;3983413.75;3983413.75;usd;177;8339980880;Many ever his receive spring.;Smile those value term.;53;44;eur;Public food month.;11;ecg;7;63;63;84
